name,minplayers,maxplayers,minplaytime,maxplaytime,yearpublished,rating,borroweddate,returndate
12 Days,3,5,15,15,2011,0,,
5-Minute Marvel,2,5,5,5,2018,0,,
7 Wonders,2,7,30,30,2010,0,,
7 Wonders Duel,2,2,30,30,2015,0,,
7 Wonders: Architects,2,7,25,25,2021,0,,
Aargh!,2,4,20,20,2005,0,,
Abalone,2,2,30,30,1987,0,,
Abandon All Artichokes,2,4,20,20,2020,0,,
Abyss,2,4,60,30,2014,0,,
Acquire,2,6,90,90,1963,0,,
Adventure Land,2,4,45,45,2015,0,,
The Adventurers: The Temple of Chac,2,6,45,45,2009,0,,
Aeon's End: War Eternal,1,4,60,60,2017,0,,
Africana,2,4,60,60,2012,0,,
Airlines Europe,2,5,75,75,2011,0,,
Akropolis,1,4,30,20,2022,0,,
Akrotiri,2,2,45,45,2014,0,,
Aladdin's Dragons,3,5,90,60,2000,0,,
Alchemists,2,4,120,120,2014,0,,
Alea Iacta Est,2,5,60,60,2009,0,,
Alhambra,2,6,60,45,2003,0,,
Alien Frontiers,2,4,90,90,2010,0,,
Among the Stars,2,4,30,30,2012,0,,
Das Amulett,3,6,60,60,2001,0,,
Anima: Shadow of Omega,2,5,60,60,2006,0,,
Animals on Board,2,4,30,15,2016,0,,
Anomia,3,6,30,30,2010,0,,
Apples to Apples,4,10,30,20,1999,0,,
Arboretum,2,4,30,30,2015,0,,
Arcane Academy,2,4,45,30,2016,0,,
Archaeology: The Card Game,2,4,20,20,2007,0,,
Archaeology: The New Expedition,2,5,30,20,2016,0,,
Architects of the West Kingdom,1,5,80,60,2018,0,,
Arena: Roma II,2,2,45,30,2009,0,,
"Artifacts, Inc.",2,4,60,60,2014,0,,
Asante,2,2,40,40,2013,0,,
Ascension: Storm of Souls,1,4,30,30,2011,0,,
At the Gates of Loyang,1,4,120,60,2009,0,,
Atlantis Rising,2,6,90,30,2012,0,,
Automania,2,4,90,60,2015,0,,
Azul,2,4,45,30,2017,0,,
Bacchus' Banquet,3,5,30,30,2008,0,,
Back to the Future: Back in Time,2,4,50,50,2020,0,,
Bad Company,1,6,30,30,2021,0,,
Bag of Chips,2,5,20,15,2021,0,,
Bandido,1,4,15,10,2016,0,,
BANG!,4,7,40,20,2002,0,,
BANG! The Dice Game,3,8,15,15,2013,0,,
BANG! The Dice Game,3,8,15,15,2013,0,,
Barbarossa,3,4,60,60,1988,0,,
Bargain Quest,2,6,60,30,2017,0,,
BasketBoss,2,5,50,50,2009,0,,
Battle Line,2,2,30,30,2000,0,,
Battle Merchants,2,4,120,120,2014,0,,
BattleCON: Fate of Indines,2,2,60,30,2015,0,,
Beasty Bar,2,4,20,20,2014,0,,
Beer!,2,6,0,0,2001,0,,
Belratti,3,7,25,25,2018,0,,
Betrayal at House on the Hill,3,6,60,60,2004,0,,
Between Two Cities,1,7,25,25,2015,0,,
Biblios,2,4,30,30,2007,0,,
Black Friday,2,5,55,55,2010,0,,
Blokus,2,4,20,20,2000,0,,
Blood Bound,6,12,30,30,2013,0,,
Blood Rage,2,4,90,60,2015,0,,
Bloodborne: The Card Game,3,5,45,30,2016,0,,
The Bloody Inn,1,4,60,30,2015,0,,
Blueprints,2,4,30,30,2013,0,,
Blueprints,2,4,30,30,2013,0,,
Boggle,1,8,10,10,1972,0,,
Bohnanza,2,7,45,45,1997,0,,
Bomb Busters,2,5,30,30,2024,0,,
Boss Monster: The Dungeon Building Card Game,2,4,30,30,2013,0,,
Bosworth,2,4,60,60,1998,0,,
Botswana,2,5,30,20,1994,0,,
Brass: Birmingham,2,4,120,60,2018,0,,
Bridge Troll,3,6,45,45,2009,0,,
Broom Service,2,5,75,30,2015,0,,
Bruges,2,4,60,60,2013,0,,
Brynk,2,99,30,15,2016,0,,
Buccaneer Bones,1,4,15,15,2013,0,,
Bunny Kingdom,2,4,60,40,2017,0,,
